learning_rate,epochs,loss,train_acc,valid_acc,time_s
0.1,30,0.0887195795745877,0.97182,0.9004,39.9210857500002
0.1,60,0.03558030570357028,0.98158,0.8929,79.69865533399934
0.1,90,0.014939154702787468,0.99502,0.9039,120.21483712500049
0.05,30,0.0887195795745877,0.97182,0.9004,39.851045250001334
0.05,60,0.03558030570357028,0.98158,0.8929,80.22474783300277
0.05,90,0.014939154702787468,0.99502,0.9039,120.00596087500162
0.01,30,0.0887195795745877,0.97182,0.9004,39.8041912080007
0.01,60,0.03558030570357028,0.98158,0.8929,81.90592325000034
0.01,90,0.014939154702787468,0.99502,0.9039,129.61473449999903
